Participant,Time,Polar_HR,HRMDUAL_HR,Vivo_HR,Polar_RR,HRMDUAL_RR,Vivo_RR
P1,15:01:24,113,107,113,516,514,561
P1,15:01:25,114,107,113,514,527,562
P1,15:01:26,115,105,112,518,557,572
P1,15:01:27,114,103,111,550,546,581
P1,15:01:28,112,102,112,545,1054,587
P1,15:01:29,112,102,113,530,511,587
P1,15:01:30,112,105,113,518,528,571
P1,15:01:31,113,109,113,512,530,552
P1,15:01:32,114,115,113,529,526,521
P1,15:01:33,114,118,113,527,518,508
P1,15:01:34,114,106,115,529,501,565
P1,15:01:35,114,102,116,512,961,589
P1,15:01:36,116,108,118,488,475,555
P1,15:01:37,118,110,119,472,602,544
P1,15:01:38,120,115,119,472,680,522
P1,15:01:39,123,119,119,603,650,501
P1,15:01:40,122,122,119,680,621,490
P1,15:01:41,122,113,119,591,628,531
P1,15:01:42,116,108,119,620,582,555
P1,15:01:43,107,113,119,607,559,532
P1,15:01:44,106,116,118,575,544,516
P1,15:01:45,105,112,118,569,542,536
P1,15:01:46,107,115,118,544,541,522
P1,15:01:47,108,116,118,539,509,514
P1,15:01:48,110,117,118,517,497,511
P1,15:01:49,111,113,119,507,480,532
P1,15:01:50,113,109,120,504,483,549
P1,15:01:51,119,110,121,485,488,547
P1,15:01:52,121,103,121,493,488,580
P1,15:01:53,121,117,121,493,1018,513
P1,15:01:54,121,121,120,503,520,496
P1,15:01:55,121,122,118,512,540,490
P1,15:01:56,119,117,117,520,537,515
P1,15:01:57,116,118,116,544,530,507
P1,15:01:58,115,117,116,534,1556,512
P1,15:01:59,114,117,116,530,2583,514
P1,15:02:00,114,116,117,514,499,518
P1,15:02:01,116,118,117,503,994,509
P1,15:02:02,117,115,118,497,503,518
P1,15:02:03,118,116,116,495,547,516
P1,15:02:04,118,118,115,521,573,510
P1,15:02:05,117,119,115,545,581,505
P1,15:02:06,114,119,115,575,592,503
P1,15:02:07,110,119,115,590,608,502
P1,15:02:08,109,120,115,601,609,501
P1,15:02:09,108,122,114,615,558,491
P1,15:02:10,103,116,114,583,529,518
P1,15:02:11,104,116,115,548,504,519
P1,15:02:12,108,115,116,513,501,521
P1,15:02:13,112,117,114,498,528,515
P1,15:02:14,113,117,114,527,571,515
P1,15:02:15,113,117,112,553,565,513
P1,15:02:16,111,117,110,571,564,513
P1,15:02:17,109,114,109,558,573,527
P1,15:02:18,109,115,108,583,563,522
P1,15:02:19,108,122,108,578,554,490
P1,15:02:20,107,120,108,572,546,502
P1,15:02:21,107,120,109,560,541,502
P1,15:02:22,108,119,108,543,568,506
P1,15:02:23,108,116,108,550,592,513
P1,15:02:24,108,116,107,569,632,516
P1,15:02:25,107,114,105,583,616,526
P1,15:02:26,107,115,105,592,563,524
P1,15:02:27,102,117,106,593,544,514
P1,15:02:28,103,114,107,562,531,523
P1,15:02:29,106,114,109,539,516,526
P1,15:02:30,108,110,109,524,557,546
P1,15:02:31,111,108,109,530,617,557
P1,15:02:32,111,111,109,575,596,541
P1,15:02:33,108,112,107,618,569,536
P1,15:02:34,105,112,108,580,551,535
P1,15:02:35,105,113,108,558,554,532
P1,15:02:36,105,115,108,553,540,520
P1,15:02:37,106,117,108,556,533,513
P1,15:02:38,107,128,109,554,539,467
P1,15:02:39,109,113,109,527,547,532
P1,15:02:40,110,112,109,543,546,537
P1,15:02:41,110,110,109,546,556,547
P1,15:02:42,110,108,109,555,557,554
P1,15:02:43,109,109,108,556,547,552
P1,15:02:44,109,107,109,558,531,562
P1,15:02:45,109,106,110,544,525,568
P1,15:02:46,110,107,110,541,541,562
P1,15:02:47,111,107,109,523,587,559
P1,15:02:48,111,108,108,583,602,557
P1,15:02:49,109,113,106,587,615,532
P1,15:02:50,106,109,105,607,565,551
P1,15:02:51,104,100,106,578,548,603
P1,15:02:52,104,97,106,565,545,620
P1,15:02:53,105,102,107,531,542,591
P1,15:02:54,107,109,107,537,622,551
P1,15:02:55,108,110,107,601,666,545
P1,15:02:56,107,107,107,611,625,560
P1,15:02:57,106,101,106,622,587,593
P1,15:02:58,99,106,106,483,579,569
P1,15:02:59,98,114,106,683,541,526
P1,15:03:00,97,109,107,559,541,549
P1,15:03:01,101,110,107,531,575,547
P1,15:03:02,103,107,106,570,574,560
P1,15:03:03,104,107,106,575,574,561
P1,15:03:04,105,106,106,574,559,567
P1,15:03:05,104,107,107,570,542,563
P1,15:03:06,105,106,107,544,548,564
P1,15:03:07,106,106,107,547,548,564
P1,15:03:08,108,107,107,548,548,560
P1,15:03:09,108,107,107,550,756,559
P1,15:03:10,108,108,107,548,687,553
P1,15:03:11,108,112,107,579,603,538
P1,15:03:12,95,106,106,607,591,566
P1,15:03:13,95,107,106,605,568,559
P1,15:03:14,95,107,105,603,622,562
P1,15:03:15,99,105,105,580,656,573
P1,15:03:16,99,104,105,601,639,577
P1,15:03:17,99,103,105,611,592,585
P1,15:03:18,100,94,104,622,587,636
P1,15:03:19,96,92,105,594,571,650
P1,15:03:20,97,96,106,593,539,622
P1,15:03:21,100,98,106,558,561,612
P1,15:03:22,101,100,106,539,583,602
P1,15:03:23,102,108,105,584,607,554
P1,15:03:24,102,109,103,581,597,552
P1,15:03:25,102,106,103,595,571,565
P1,15:03:26,101,101,104,597,569,594
P1,15:03:27,102,100,104,559,565,599
P1,15:03:28,104,101,106,565,552,593
P1,15:03:29,104,102,105,548,599,586
P1,15:03:30,104,108,104,542,588,558
P1,15:03:31,105,108,102,593,621,555
P1,15:03:32,105,108,103,599,593,556
P1,15:03:33,102,103,104,610,565,585
P1,15:03:34,103,102,105,566,531,591
P1,15:03:35,105,98,107,540,537,612
P1,15:03:36,108,104,107,526,559,578
P1,15:03:37,109,105,107,556,616,572
P1,15:03:38,109,116,107,559,598,517
P1,15:03:39,106,119,107,616,597,503
P1,15:03:40,103,108,107,622,559,555
P1,15:03:41,102,102,107,574,561,591
P1,15:03:42,102,98,107,566,542,611
P1,15:03:43,103,98,107,559,564,611
P1,15:03:44,107,106,107,544,605,565
P1,15:03:45,107,107,107,598,618,561
P1,15:03:46,105,109,107,606,620,549
P1,15:03:47,102,102,107,620,561,590
P1,15:03:48,101,101,107,584,538,596
P1,15:03:49,102,98,108,561,531,613
P1,15:03:50,105,101,109,537,540,593
P1,15:03:51,108,106,108,531,745,567
P1,15:03:52,108,113,108,566,644,531
P1,15:03:53,108,111,108,655,601,539
P1,15:03:54,109,108,108,745,558,555
P1,15:03:55,107,108,108,582,543,558
P1,15:03:56,105,101,108,557,542,593
P1,15:03:57,107,107,109,543,534,561
P1,15:03:58,109,109,108,538,607,548
P1,15:03:59,109,110,107,607,569,545
P1,15:04:00,107,109,107,583,559,549
P1,15:04:01,106,107,108,569,537,560
P1,15:04:02,106,104,109,551,518,572
P1,15:04:03,107,103,112,535,498,581
P1,15:04:04,110,107,114,509,486,559
P1,15:04:05,114,108,116,488,496,553
P1,15:04:06,117,110,116,486,506,547
P1,15:04:07,118,109,116,510,510,549
P1,15:04:08,118,89,116,509,522,671
P1,15:04:09,118,114,115,513,535,526
P1,15:04:10,117,118,114,533,551,510
P1,15:04:11,115,121,113,542,529,497
P1,15:04:12,114,112,113,552,521,536
P1,15:04:13,114,111,113,553,524,540
P1,15:04:14,112,111,114,530,520,541
P1,15:04:15,114,111,114,525,527,539
P1,15:04:16,114,112,113,513,550,535
P1,15:04:17,114,116,112,550,569,517
P1,15:04:18,112,117,110,553,571,513
P1,15:04:19,110,103,109,569,563,581
P1,15:04:20,108,108,109,570,558,553
P1,15:04:21,108,104,109,558,552,574
P1,15:04:22,108,103,109,545,534,580
P1,15:04:23,108,103,110,549,517,582
P1,15:04:24,110,104,113,530,493,575
P1,15:04:25,112,108,115,527,476,556
P1,15:04:26,116,110,118,488,457,546
P1,15:04:27,119,111,122,470,453,541
P1,15:04:28,123,112,123,456,598,534
P1,15:04:29,123,112,123,454,1317,536
P1,15:04:30,123,113,123,456,809,529
P1,15:04:31,128,112,123,1318,590,537
P1,15:04:32,129,111,123,808,559,537
P1,15:04:33,130,112,123,591,758,536
P1,15:04:34,129,112,123,645,637,536
P1,15:04:35,128,107,123,758,606,562
P1,15:04:36,120,110,123,603,606,546
P1,15:04:37,107,114,122,606,589,525
P1,15:04:38,103,106,121,606,575,568
P1,15:04:39,103,102,120,569,580,588
P1,15:04:40,103,101,119,578,567,592
P1,15:04:41,103,102,118,579,552,589
P1,15:04:42,103,102,118,581,566,586
P1,15:04:43,105,106,116,561,544,564
P1,15:04:44,106,108,115,553,545,558
P1,15:04:45,107,108,114,545,553,555
P1,15:04:46,108,109,113,550,533,552
P1,15:04:47,108,109,112,541,560,551
P1,15:04:48,109,109,111,541,555,548
P1,15:04:49,109,110,110,569,553,544
P1,15:04:50,108,110,110,545,551,546
P1,15:04:51,109,109,110,553,542,549
P1,15:04:52,108,109,109,553,557,550
P1,15:04:53,108,109,109,550,550,551
P1,15:04:54,109,109,109,543,551,551
P1,15:04:55,108,109,108,545,550,552
P1,15:04:56,109,108,109,550,542,553
P1,15:04:57,108,108,108,549,567,553
P1,15:04:58,108,109,108,576,554,552
P1,15:04:59,108,108,107,560,564,553
P1,15:05:00,108,108,107,560,582,554
P1,15:05:01,108,108,106,559,563,557
P1,15:05:02,108,106,107,559,541,568
P1,15:05:03,108,108,108,559,536,553
P1,15:05:04,108,120,109,559,535,501
P1,15:05:05,107,109,110,559,532,547
P1,15:05:06,107,110,110,4538,524,543
P1,15:05:07,109,111,111,533,521,540
P1,15:05:08,110,114,112,524,522,527
P1,15:05:09,112,115,112,521,545,520
P1,15:05:10,113,115,111,529,564,521
P1,15:05:11,112,116,108,551,603,519
P1,15:05:12,111,114,107,585,604,528
P1,15:05:13,108,109,107,604,604,548
P1,15:05:14,105,108,106,586,575,553
P1,15:05:15,105,108,106,574,564,556
P1,15:05:16,105,103,105,574,572,584
P1,15:05:17,105,97,106,565,564,619
P1,15:05:18,105,104,105,563,572,579
P1,15:05:19,105,105,105,560,570,569
P1,15:05:20,106,105,105,559,583,568
P1,15:05:21,106,106,104,568,593,568
P1,15:05:22,106,106,103,571,590,566
P1,15:05:23,104,106,103,592,575,567
P1,15:05:24,103,105,104,583,560,572
P1,15:05:25,104,104,103,562,604,575
P1,15:05:26,104,104,103,578,590,579
P1,15:05:27,104,104,103,604,593,579
P1,15:05:28,103,102,103,580,576,586
P1,15:05:29,103,103,104,595,549,582
P1,15:05:30,103,106,105,568,541,566
P1,15:05:31,103,107,106,562,565,563
P1,15:05:32,106,106,105,541,579,564
P1,15:05:33,107,107,104,564,589,562
P1,15:05:34,107,106,104,596,580,567
P1,15:05:35,105,106,104,591,563,565
P1,15:05:36,104,105,105,580,536,572
P1,15:05:37,105,103,108,549,520,581
P1,15:05:38,107,105,109,520,535,570
P1,15:05:39,110,107,109,521,563,559
P1,15:05:40,111,109,108,535,571,548
P1,15:05:41,111,112,108,576,1095,538
P1,15:05:42,110,135,109,573,528,445
P1,15:05:43,109,108,110,570,509,553
P1,15:05:44,110,110,112,518,507,544
P1,15:05:45,113,110,113,507,508,545
P1,15:05:46,115,110,114,508,511,546
P1,15:05:47,116,110,113,506,555,545
P1,15:05:48,116,111,112,535,544,541
P1,15:05:49,114,113,112,550,529,533
P1,15:05:50,113,117,112,544,531,512
P1,15:05:51,112,116,112,538,533,517
P1,15:05:52,112,115,111,531,580,524
P1,15:05:53,112,114,108,539,589,526
P1,15:05:54,111,115,108,590,557,524
P1,15:05:55,111,114,108,600,544,525
P1,15:05:56,107,114,110,556,525,526
P1,15:05:57,108,114,111,529,529,528
P1,15:05:58,110,107,111,520,604,561
P1,15:05:59,111,114,111,626,660,526
P1,15:06:00,111,116,111,614,706,516
P1,15:06:01,111,117,111,602,625,514
P1,15:06:02,109,110,111,705,617,544
P1,15:06:03,105,100,111,629,583,599
P1,15:06:04,102,98,111,619,573,610
P1,15:06:05,101,112,110,584,542,537
P1,15:06:06,102,113,111,558,534,531
P1,15:06:07,105,114,110,535,555,526
P1,15:06:08,107,117,110,553,715,515
P1,15:06:09,108,114,110,554,613,525
P1,15:06:10,108,115,109,650,613,523
P1,15:06:11,104,118,109,610,577,507
P1,15:06:12,102,119,109,613,550,503
P1,15:06:13,103,121,109,567,531,496
P1,15:06:14,105,114,109,531,561,525
P1,15:06:15,107,120,109,548,539,500
P1,15:06:16,108,116,109,560,531,518
P1,15:06:17,108,117,110,540,543,514
P1,15:06:18,109,117,110,534,534,511
P1,15:06:19,110,119,110,532,1124,504
P1,15:06:20,111,120,109,551,545,500
P1,15:06:21,110,118,109,563,547,507
P1,15:06:22,109,126,109,544,553,475
P1,15:06:23,109,119,109,548,547,503
P1,15:06:24,109,116,108,548,587,516
P1,15:06:25,109,113,108,568,1237,529
P1,15:06:26,108,111,107,578,591,542
P1,15:06:27,108,122,105,588,605,490
P1,15:06:28,105,126,105,638,1192,477
P1,15:06:29,102,118,104,605,1779,510
P1,15:06:30,102,135,105,594,551,444
P1,15:06:31,102,123,106,574,554,489
P1,15:06:32,102,127,105,561,596,472
P1,15:06:33,105,122,104,551,607,492
P1,15:06:34,106,117,105,597,555,513
P1,15:06:35,104,120,106,571,529,500
P1,15:06:36,105,124,108,547,541,483
P1,15:06:37,107,117,108,522,1427,513
P1,15:06:38,109,117,108,541,1871,510
P1,15:06:39,107,118,108,583,2314,508
P1,15:06:40,106,119,107,581,576,506
P1,15:06:41,105,122,106,562,583,491
P1,15:06:42,106,112,106,576,570,538
P1,15:06:43,105,110,106,584,544,545
P1,15:06:44,105,110,107,583,565,547
P1,15:06:45,106,108,106,544,626,557
P1,15:06:46,107,109,106,565,621,552
P1,15:06:47,105,106,105,627,584,565
P1,15:06:48,103,115,105,584,590,520
P1,15:06:49,102,117,104,584,593,514
P1,15:06:50,102,115,104,590,559,521
P1,15:06:51,102,116,105,578,565,519
P1,15:06:52,103,117,105,555,1235,515
P1,15:06:53,104,116,104,565,598,518
P1,15:06:54,103,122,104,639,641,490
P1,15:06:55,102,115,103,597,625,522
P1,15:06:56,100,111,102,641,585,538
P1,15:06:57,99,109,103,610,564,546
P1,15:06:58,99,108,103,577,570,550
P1,15:06:59,99,108,103,569,596,552
P1,15:07:00,103,108,103,571,607,553
P1,15:07:01,103,108,102,580,634,554
P1,15:07:02,103,108,100,607,636,554
P1,15:07:03,102,108,98,633,653,554
P1,15:07:04,99,108,97,635,658,554
P1,15:07:05,97,108,97,653,605,554
P1,15:07:06,96,108,97,638,606,554
P1,15:07:07,96,108,98,605,598,554
P1,15:07:08,97,108,98,605,619,554
P1,15:07:09,97,108,98,598,618,554
P1,15:07:10,98,108,97,620,625,554
P1,15:07:11,98,108,97,605,639,554
P1,15:07:12,98,108,96,624,639,554
P1,15:07:13,97,108,97,639,607,554
P1,15:07:14,96,108,97,607,615,554
P1,15:07:15,97,108,97,607,594,554
P1,15:07:16,97,108,98,595,589,554
P1,15:07:17,98,108,99,593,585,554
P1,15:07:18,99,108,99,586,1112,554
P1,15:07:19,100,108,101,584,533,554
P1,15:07:20,103,108,104,549,519,554
P1,15:07:21,106,108,106,525,538,554
P1,15:07:22,109,108,106,521,552,554
P1,15:07:23,110,108,107,562,545,554
P1,15:07:24,109,108,107,550,554,554
P1,15:07:25,110,108,108,546,548,554
P1,15:07:26,109,108,107,554,558,554
P1,15:07:27,109,108,107,557,560,554
P1,15:07:28,109,108,108,561,550,554
P1,15:07:29,108,108,108,560,549,554
P1,15:07:30,108,108,108,550,548,554
P1,15:07:31,108,108,108,552,546,554
P1,15:07:32,109,108,108,555,541,554
P1,15:07:33,109,108,109,541,543,554
P1,15:07:34,109,108,109,541,543,554
P1,15:07:35,109,108,109,542,543,554
P1,15:07:36,110,108,110,544,536,554
P1,15:07:37,110,108,110,536,534,554
P1,15:07:38,111,108,110,534,535,554
P1,15:07:39,111,108,110,537,555,554
P1,15:07:40,111,108,109,539,581,554
P1,15:07:41,111,108,108,555,570,554
P1,15:07:42,109,108,107,581,570,554
P1,15:07:43,107,108,107,570,566,554
P1,15:07:44,107,108,107,568,576,555
P1,15:07:45,106,108,106,566,622,555
P1,15:07:46,107,108,106,575,672,555
P1,15:07:47,105,108,105,624,613,555
P1,15:07:48,98,108,103,672,626,555
P1,15:07:49,97,108,102,621,613,555
P1,15:07:50,97,108,102,626,591,555
P1,15:07:51,97,108,101,610,600,555
P1,15:07:52,97,108,101,594,604,555
P1,15:07:53,98,108,101,597,608,555
P1,15:07:54,98,108,98,642,614,555
P1,15:07:55,97,108,98,646,631,555
P1,15:07:56,97,108,97,614,623,555
P1,15:07:57,96,108,97,625,604,555
P1,15:07:58,96,108,99,624,584,555
P1,15:07:59,97,108,100,583,585,555
P1,15:08:00,98,108,100,575,583,555
P1,15:08:01,100,108,100,587,611,555
P1,15:08:02,101,108,99,583,614,555
P1,15:08:03,101,108,99,630,611,555
P1,15:08:04,99,108,98,614,622,555
P1,15:08:05,99,108,98,626,599,555
P1,15:08:06,98,108,99,625,584,555
P1,15:08:07,98,108,100,623,563,555
P1,15:08:08,99,108,102,577,560,555
P1,15:08:09,100,108,103,570,551,555
P1,15:08:10,103,108,103,572,558,555
P1,15:08:11,103,108,103,562,583,555
P1,15:08:12,104,108,103,551,603,555
P1,15:08:13,104,108,102,621,610,555
P1,15:08:14,101,108,101,602,599,555
P1,15:08:15,100,108,102,607,576,555
P1,15:08:16,100,108,102,583,569,555
P1,15:08:17,101,108,103,576,555,555
P1,15:08:18,103,108,104,559,554,555
P1,15:08:19,104,108,105,555,579,555
P1,15:08:20,104,108,104,553,585,555
P1,15:08:21,105,108,104,553,581,555
P1,15:08:22,105,108,104,585,566,555
P1,15:08:23,104,108,105,576,546,555
P1,15:08:24,104,108,107,571,537,555
P1,15:08:25,105,108,108,555,535,555
P1,15:08:26,108,108,108,531,536,555
P1,15:08:27,110,108,108,535,550,555
P1,15:08:28,110,108,108,544,549,555
P1,15:08:29,110,108,108,568,563,555
P1,15:08:30,109,108,108,551,554,555
P1,15:08:31,109,108,108,556,565,555
P1,15:08:32,108,108,107,555,568,555
P1,15:08:33,108,108,107,569,572,555
P1,15:08:34,107,108,107,559,555,555
P1,15:08:35,107,108,106,546,586,555
P1,15:08:36,108,108,105,556,591,555
P1,15:08:37,106,108,104,585,626,555
P1,15:08:38,105,108,103,627,644,555
P1,15:08:39,103,108,102,649,604,555
P1,15:08:40,102,108,101,671,583,555
P1,15:08:41,99,108,102,604,570,555
P1,15:08:42,100,108,102,583,587,555
P1,15:08:43,101,108,101,572,654,555
P1,15:08:44,102,108,101,587,610,555
P1,15:08:45,100,108,100,654,633,555
P1,15:08:46,99,108,99,624,628,555
P1,15:08:47,98,108,99,634,605,555
P1,15:08:48,97,108,99,610,585,555
P1,15:08:49,98,108,100,600,568,555
P1,15:08:50,98,108,101,592,576,555
P1,15:08:51,99,108,100,584,602,555
P1,15:08:52,101,108,101,603,610,555
P1,15:08:53,101,108,99,602,632,555
P1,15:08:54,101,108,98,611,614,555
P1,15:08:55,100,108,98,643,611,555
P1,15:08:56,98,108,99,613,594,555
P1,15:08:57,98,108,100,605,575,555
P1,15:08:58,99,108,100,589,573,555
P1,15:08:59,100,108,101,574,570,555
P1,15:09:00,101,108,102,574,577,555
P1,15:09:01,101,108,101,573,659,555
P1,15:09:02,101,108,101,574,623,555
P1,15:09:03,102,108,100,576,607,555
P1,15:09:04,99,108,99,610,618,555
P1,15:09:05,99,108,99,608,612,555
P1,15:09:06,98,108,100,622,584,555
P1,15:09:07,98,108,100,586,591,555
P1,15:09:08,99,108,100,583,600,555
P1,15:09:09,99,108,100,596,573,555
P1,15:09:10,100,108,102,599,553,555
P1,15:09:11,101,108,103,564,556,555
P1,15:09:12,102,108,104,559,552,555
P1,15:09:13,103,108,104,553,577,555
P1,15:09:14,105,108,105,548,549,555
P1,15:09:15,106,108,105,570,550,555
P1,15:09:16,106,108,106,549,539,555
P1,15:09:17,107,108,108,550,525,555
P1,15:09:18,108,108,109,538,531,555
P1,15:09:19,110,108,109,528,544,555
P1,15:09:20,111,113,110,538,536,533
P1,15:09:21,111,106,110,543,1302,567
P1,15:09:22,111,112,110,522,2069,535
P1,15:09:23,113,130,111,518,508,460
P1,15:09:24,115,110,113,503,989,544
P1,15:09:25,116,105,115,498,498,569
P1,15:09:26,118,105,116,499,492,574
P1,15:09:27,119,104,117,491,490,576
P1,15:09:28,119,104,117,494,1465,575
P1,15:09:29,120,109,119,492,482,548
P1,15:09:30,121,107,119,484,1188,561
P1,15:09:31,122,111,119,484,1895,539
P1,15:09:32,124,112,121,485,473,536
P1,15:09:33,125,104,123,475,469,579
P1,15:09:34,126,108,124,471,475,558
P1,15:09:35,126,107,124,469,1440,561
P1,15:09:36,126,107,123,481,1437,559
P1,15:09:37,126,110,123,478,1434,547
P1,15:09:38,126,110,124,479,479,547
P1,15:09:39,125,103,124,480,484,581
P1,15:09:40,125,113,124,482,481,533
P1,15:09:41,125,112,123,482,483,534
P1,15:09:42,125,109,123,487,484,550
P1,15:09:43,124,108,123,490,484,555
P1,15:09:44,124,114,123,487,485,527
P1,15:09:45,124,113,123,487,977,529
P1,15:09:46,124,110,123,488,478,543
P1,15:09:47,124,115,123,488,962,524
P1,15:09:48,124,112,124,477,1447,538
P1,15:09:49,124,115,123,481,981,520
P1,15:09:50,124,116,123,491,1481,517
P1,15:09:51,123,120,123,490,1981,498
P1,15:09:52,122,122,122,496,1463,490
P1,15:09:53,122,119,122,493,1697,504
P1,15:09:54,122,113,122,490,1930,530
P1,15:09:55,122,116,123,489,481,518
P1,15:09:56,123,119,124,475,956,506
P1,15:09:57,123,119,124,481,1188,504
P1,15:09:58,124,117,125,479,1420,512
P1,15:09:59,125,120,125,472,1422,500
P1,15:10:00,126,120,125,475,473,502
P1,15:10:01,126,121,125,473,473,496
P1,15:10:02,126,117,126,472,941,511
P1,15:10:03,126,117,126,471,1416,513
P1,15:10:04,127,119,126,468,1892,505
P1,15:10:05,127,123,125,472,478,489
P1,15:10:06,127,129,125,473,487,466
P1,15:10:07,126,128,125,483,988,468
P1,15:10:08,125,125,123,490,492,479
P1,15:10:09,124,126,123,495,1454,478
P1,15:10:10,123,127,123,492,2416,473
P1,15:10:11,123,124,124,484,470,484
P1,15:10:12,124,123,125,474,945,489
P1,15:10:13,125,123,125,473,1420,488
P1,15:10:14,126,132,125,474,1426,454
P1,15:10:15,126,123,125,475,478,488
P1,15:10:16,126,135,125,477,1178,443
P1,15:10:17,126,124,126,476,1877,483
P1,15:10:18,126,126,127,473,458,476
P1,15:10:19,127,120,128,465,914,498
P1,15:10:20,128,138,128,458,458,434
P1,15:10:21,129,137,128,457,457,437
P1,15:10:22,130,123,128,457,456,489
P1,15:10:23,130,125,128,458,459,479
P1,15:10:24,130,130,128,463,461,462
P1,15:10:25,130,127,129,462,462,471
P1,15:10:26,130,129,130,461,457,464
P1,15:10:27,130,130,130,459,1848,460
P1,15:10:28,131,136,130,459,2543,440
P1,15:10:29,130,137,130,460,3239,439
P1,15:10:30,130,133,129,469,936,452
P1,15:10:31,129,130,129,467,1401,463
P1,15:10:32,129,131,129,468,1867,459
P1,15:10:33,129,130,129,469,459,460
P1,15:10:34,129,126,129,464,459,477
P1,15:10:35,129,127,129,463,916,473
P1,15:10:36,130,126,129,461,459,478
P1,15:10:37,130,128,129,458,924,468
P1,15:10:38,130,130,129,462,1388,463
P1,15:10:39,130,131,129,462,1896,457
P1,15:10:40,129,131,129,474,476,459
P1,15:10:41,128,128,128,474,1415,467
P1,15:10:42,127,130,128,471,469,461
P1,15:10:43,127,130,128,468,930,462
P1,15:10:44,127,130,128,467,1390,460
P1,15:10:45,128,131,129,463,1825,458
P1,15:10:46,129,127,130,460,2259,472
P1,15:10:47,131,130,130,450,454,462
P1,15:10:48,132,131,130,454,1374,458
P1,15:10:49,132,130,130,458,1376,462
P1,15:10:50,131,132,130,461,458,455
P1,15:10:51,131,130,130,458,917,462
P1,15:10:52,131,128,130,460,1375,470
P1,15:10:53,131,127,129,462,2110,471
P1,15:10:54,130,128,129,467,2477,470
P1,15:10:55,129,130,129,472,2661,463
P1,15:10:56,128,133,129,475,2844,451
P1,15:10:57,128,134,128,475,472,448
P1,15:10:58,127,134,128,476,1185,447
P1,15:10:59,127,130,127,478,1897,461
P1,15:11:00,127,135,127,470,475,445
P1,15:11:01,127,146,127,474,1862,412
P1,15:11:02,127,133,128,466,460,450
P1,15:11:03,128,126,128,460,912,478
P1,15:11:04,129,131,129,456,1363,458
P1,15:11:05,129,130,129,453,1389,462
P1,15:11:06,130,131,128,453,1418,458
P1,15:11:07,129,130,128,474,1448,461
P1,15:11:08,128,131,127,483,1472,459
P1,15:11:09,126,130,127,491,1497,463
P1,15:11:10,124,128,127,498,1958,468
P1,15:11:11,123,130,127,501,1689,460
P1,15:11:12,123,124,127,482,1420,482
P1,15:11:13,124,129,128,475,466,466
P1,15:11:14,125,132,128,462,1363,454
P1,15:11:15,127,136,129,454,455,442
P1,15:11:16,129,127,128,454,479,473
P1,15:11:17,130,146,128,462,549,412
P1,15:11:18,130,142,128,540,3107,423
P1,15:11:19,128,151,128,515,4386,397
P1,15:11:20,125,144,128,486,5025,418
P1,15:11:21,126,131,128,470,5345,458
P1,15:11:22,128,142,128,457,5665,424
P1,15:11:23,129,137,128,455,3776,438
P1,15:11:24,129,156,128,458,1888,384
P1,15:11:25,130,144,127,463,1923,416
P1,15:11:26,128,147,127,484,1958,407
P1,15:11:27,127,130,127,489,2486,460
P1,15:11:28,125,133,127,490,2750,451
P1,15:11:29,123,132,127,499,2882,454
P1,15:11:30,122,135,127,506,3014,446
P1,15:11:31,121,135,127,494,3208,444
P1,15:11:32,121,134,127,491,3306,447
P1,15:11:33,121,141,127,488,3403,427
P1,15:11:34,122,135,127,480,3830,444
P1,15:11:35,123,135,127,473,4043,445
P1,15:11:36,124,136,127,475,4150,441
P1,15:11:37,124,132,127,478,4256,456
P1,15:11:38,125,130,127,464,465,462
P1,15:11:39,126,129,127,462,933,465
P1,15:11:40,127,134,127,466,1167,449
P1,15:11:41,128,128,128,468,1401,469
P1,15:11:42,128,121,128,464,1396,497
P1,15:11:43,128,115,128,465,1875,523
P1,15:11:44,129,114,127,463,1174,525
P1,15:11:45,128,121,127,472,474,496
P1,15:11:46,128,120,126,479,1441,498
P1,15:11:47,127,122,126,482,1446,493
P1,15:11:48,126,123,126,483,958,486
P1,15:11:49,125,123,126,482,958,489
P1,15:11:50,125,117,126,476,1419,511
P1,15:11:51,125,119,126,482,935,504
P1,15:11:52,126,122,127,469,916,493
P1,15:11:53,127,123,127,459,1370,486
P1,15:11:54,129,122,129,458,456,491
P1,15:11:55,129,107,129,454,462,560
P1,15:11:56,130,121,129,456,1864,496
P1,15:11:57,129,123,129,470,2564,487
P1,15:11:58,129,125,129,465,3265,481
P1,15:11:59,129,125,129,463,925,480
P1,15:12:00,129,131,129,466,1156,458
P1,15:12:01,129,134,129,458,1386,447
P1,15:12:02,129,136,129,458,1384,441
P1,15:12:03,130,135,129,458,1381,443
P1,15:12:04,130,131,129,462,1851,458
P1,15:12:05,130,132,129,460,1841,455
P1,15:12:06,130,127,129,462,1831,472
P1,15:12:07,130,129,130,459,444,466
P1,15:12:08,131,128,131,452,446,468
P1,15:12:09,132,126,132,451,878,475
P1,15:12:10,133,125,132,442,1543,479
P1,15:12:11,134,124,132,447,2208,484
P1,15:12:12,135,109,133,442,446,549
P1,15:12:13,135,126,133,438,1323,475
P1,15:12:14,135,127,133,441,881,471
P1,15:12:15,136,134,134,439,439,448
P1,15:12:16,136,132,135,439,1106,454
P1,15:12:17,137,133,134,440,1773,450
P1,15:12:18,136,139,134,443,1783,432
P1,15:12:19,136,137,133,445,1793,438
P1,15:12:20,135,135,133,448,2438,443
P1,15:12:21,135,135,133,438,2760,444
